GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000075673	x	x	x	x	x	x	x	43.0177597468092	x	x	x	x	x	x	x	x	x	13.044126292745	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000174684	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	9.8765200370576	x	x	x	51.8789454380914	x	x	9.93813158557196	71.6075996490579	72.3211724305812	x	13.6998876854359	x	x	x
ENSG00000137628	6.95564954519432	124.147481344199	x	11.79387981496	x	x	4.32789406499391	x	x	x	x	x	4.09702631115786	32.0706120459049	43.4623074987004	x	x	x	71.9893843486873	x	x	x	x	x	29.9824983525033	x	x	45.3427626759129	88.1876173246471	39.7970991975312	x	x	x	x	x	x
ENSG00000213822	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	11.2111201957408	x	x	x	x	x	x	x	x	x	x	x
ENSG00000167536	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	46.6322547708436	x	x	x	x	x	x	x	10.1088898602381	19.9109744020303	x	x	x	x	x	x
ENSG00000131652	x	60.7026565380555	x	x	x	x	74.0652427585004	x	31.7107716254116	x	x	x	x	98.0069896963095	46.4869043031378	x	x	x	x	16.3666295559878	x	x	x	x	11.6614611761194	x	x	88.8273978261292	29.0229861103666	28.5825615623226	63.36129779119	x	20.004346218621	x	x	x
ENSG00000085265	4.8326560298552	59.1465344203484	34.9578173094533	38.2394530019345	x	76.5962219006016	18.0416421619899	x	5.14964350382914	x	x	x	11.813979394633	x	18.8730021761709	x	x	x	10.1893292325389	69.1039632454354	21.7417951403544	10.2275668559431	x	80.2650136189037	x	x	x	104.303422690654	28.2789773110164	x	13.71933799736	5.25071089393437	x	9.75505013857405	8.64156587265047	12.9348862102238
ENSG00000102805	51.9534305965486	52.9878627137677	x	x	x	x	6.46521773340995	30.0475100068756	x	x	x	x	x	x	8.11576245154435	x	x	6.83340179066294	21.9080607366942	5.71462779034122	x	x	x	x	x	6.6125230651898	x	47.2359843045004	15.2006461456485	29.6334734402643	58.995854045734	11.2895452242122	x	x	x	x
ENSG00000081052	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.04855416403299	x	x	x	x	x	x
ENSG00000134757	x	456.019780380886	x	x	x	x	x	x	488.661555871048	x	2667.63561951246	x	x	x	x	x	x	20.1056614495958	x	x	x	x	x	602.975479232472	x	x	x	x	x	x	x	145.323521510584	x	x	x	x
ENSG00000119314	2.64088482732175	67.3366710659012	x	5.97045189548653	x	3.48810604006388	19.7183075936796	22.9105217013025	42.2116181392674	x	x	x	19.3678333865484	3.47897231717481	70.1315567545086	x	x	3.47353907157651	13.8051270240575	29.0484644652242	17.8217453974124	x	8.84538307751837	x	16.5579621352479	x	15.1143046399925	87.423922149341	54.0873022578371	33.560275865605	x	x	3.55048996675712	5.33080851224891	4.72232661633645	x
ENSG00000100379	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	22.722883410724	x	x	x	x	x	x
ENSG00000100568	15.7831240474209	12.073033492922	x	x	5.99102655567685	x	4.91023077342142	11.4103046783725	29.4321710479549	4.78233990227845	x	5.38481647316764	24.4129654291459	20.7919145399459	12.3275868447304	x	43.0522116609633	5.18986075074831	41.5970654241848	4.34016956455741	62.1313138457726	12.174993292917	13.2160040562062	x	21.6470367898325	25.1105342337239	11.2912414125154	12.4124904489609	3.84821690250516	11.2763541172817	16.8024073193232	4.28711565980177	5.30483410282623	x	x	x
ENSG00000008283	13.1961713715233	x	x	x	x	x	8.21082652143063	x	7.03087264632172	x	x	x	x	26.0759846960744	x	x	x	69.4273621931355	27.8232371356016	x	59.3686893551302	6.39504672399479	x	x	25.8556459514272	16.7958085855821	x	x	6.43494020165785	x	x	7.16886121737477	x	x	x	x
ENSG00000108468	26.1526104803105	35.5644383267964	21.0199151974954	9.85420373749274	39.7084844336418	11.514206354381	21.6966514191396	x	18.5786890736825	x	x	11.8968426704872	x	x	34.0446517372794	x	x	x	57.5706598590438	9.58887173408205	98.0490327912968	24.0108924241035	29.1985291927165	x	6.83221032572808	11.0954970012103	37.4191367454809	140.461050147936	51.011912416115	24.9132001988333	74.2441631426082	9.47165809066856	46.8805405189482	123.178653339393	46.7650717972047	x
ENSG00000164114	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.69823603371387	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000169313	x	x	x	x	145.22302649797	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000088970	x	16.7538387501622	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000158109	69.9714140660724	44.6028736679271	x	x	x	11.5523644533184	x	x	37.2805177601152	10.6007874138741	152.637601468583	x	42.7632775270518	x	13.6629903078195	x	x	69.0247180047743	24.4611653801138	x	39.3495869793738	14.2718164188997	14.6476465834216	x	20.5645568462055	x	12.514381275553	11.3898280215213	17.0603219927963	49.7795110046837	12.4150347370476	66.5213302689291	11.7589756769773	x	31.2800342150869	x
ENSG00000185615	x	x	x	12.2018821330304	16.3895619117724	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	221.077700179656	x	x	x	x	x	x	x
ENSG00000054523	13.8529496073729	10.0919802262982	x	x	x	x	x	x	2.1088004937885	x	x	x	x	2.60702818219258	6.18285848778259	x	x	x	x	x	x	x	x	x	4.6529984278508	x	5.66308302543536	6.02339418482237	1.930059859903	21.7421254960922	x	4.30037602316979	x	x	x	x
ENSG00000151136	x	x	x	x	x	x	x	x	11.7038975905477	x	x	x	x	x	2.8595854519747	x	x	x	x	x	x	x	x	x	5.73872495540607	x	x	x	x	x	x	x	x	x	x	x
ENSG00000136044	97.7795964546342	86.4296005833212	x	x	x	25.8296459928781	170.351201679573	37.7008584958143	34.7310782158529	x	113.759546139289	x	51.6462955520142	x	15.2743710727429	x	x	x	46.0330962663256	14.3403811916929	14.6634614029343	6.31804554392817	21.8335405077985	x	51.0886489932491	8.2967871988056	27.9805956151759	79.2617803227963	152.579008177624	83.7884610441847	9.25282304885238	106.238140918181	26.2916029183913	13.1583248087157	46.6255033005371	x
ENSG00000225663	21.2627131867446	28.914759861531	x	x	x	x	8.81995463866332	x	15.1049294852162	x	x	x	17.326376628114	x	x	x	x	18.6444745735174	55.2705133811244	15.5919753876782	x	27.6517192104769	23.7391197397648	x	33.3285265033502	x	x	13.0661938732586	x	43.9137984146971	x	7.70069012943916	x	x	x	x
ENSG00000173572	x	6.09517899996467	x	x	x	x	7.43692184222418	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000189132	x	10.1576733051298	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000130349	267.640658802727	30.3299540941904	x	x	x	x	18.5032710342099	x	15.844220048049	54.0640158107577	x	142.041599039042	43.9693456897994	x	81.294792331526	x	x	19.557003434686	119.310735059813	16.3551037605259	x	55.7298622738305	x	x	69.9194932770989	37.8497094886357	42.5488963368802	59.9141045500011	87.007642163261	95.2483678068311	x	64.620720832674	19.9902586508614	x	x	x
