GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.CSF	SpectralCount.adipocyte	SpectralCount.bone	SpectralCount.breast	SpectralCount.heart	SpectralCount.lung	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.platelets_lysate	SpectralCount.platelets_secreted	WithInSampleTop3Abundance.CSF	WithInSampleTop3Abundance.adipocyte	WithInSampleTop3Abundance.bone	WithInSampleTop3Abundance.breast	WithInSampleTop3Abundance.heart	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.platelets_lysate	WithInSampleTop3Abundance.platelets_secreted
ENSG00000043093	1	6	91	0.000230535994797734	-	-	-	-	-	-	-	-	91	-	-	-	-	-	-	-	-	-	0.000230535994797734	-
ENSG00000043462	1	10	44.5	0.000227567520964796	-	-	-	-	-	-	-	-	44.5	-	-	-	-	-	-	-	-	-	0.000227567520964796	-
ENSG00000044090	1	12	13	0.000138928426621584	-	-	-	-	-	13	-	-	-	-	-	-	-	-	-	0.000138928426621584	-	-	-	-
ENSG00000044115	4	22	22	0.000301120572307291	-	-	23	22	5	30	-	-	-	-	-	-	0.0001959996428826	0.000187060732127587	0.000567924547474147	0.000370209800622035	-	-	-	-
ENSG00000044574	9	46	265	0.00126714548877708	14	87	66	145	335.5	65	-	213	550	211	0.000465037463326235	0.000329243909278659	0.000950123723483428	0.00264473220236621	0.0022345143593365	0.00154558010048065	-	0.00960504155959051	0.00168878158559915	0.000878944990155127
ENSG00000047056	1	5	59	0.000165190076636127	-	-	-	-	-	-	-	-	59	-	-	-	-	-	-	-	-	-	0.000165190076636127	-
ENSG00000047188	1	13	20	0.000219095514459212	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	0.000219095514459212	-	-	-	-
ENSG00000047230	1	6	74	0.00016456936447551	-	-	-	-	-	-	-	-	74	-	-	-	-	-	-	-	-	-	0.00016456936447551	-
ENSG00000047249	1	15	42.5	0.000677262546378457	-	-	42.5	-	-	-	-	-	-	-	-	-	0.000677262546378457	-	-	-	-	-	-	-
ENSG00000047315	3	10	6	8.05738413067288e-05	-	-	-	6	-	4	-	11	-	-	-	-	-	8.05738413067288e-05	-	8.80279795550249e-05	-	7.39936271381911e-05	-	-
ENSG00000047410	2	13	14	9.06610928718593e-05	-	-	-	-	-	14	-	14	-	-	-	-	-	-	-	0.000165762507857941	-	1.55596778857777e-05	-	-
ENSG00000047457	3	21	17	0.000311300041799798	20.5	-	-	-	46	-	-	-	9	-	0.000296247566481489	-	-	-	0.000569233447477749	-	-	-	0.000256372965962129	-
ENSG00000047648	1	19	159	0.0005522589127033	-	-	-	-	-	-	-	-	159	-	-	-	-	-	-	-	-	-	0.0005522589127033	-
ENSG00000047849	3	19	14	0.000117383028759573	-	-	-	124	14	8	-	-	-	-	-	-	-	0.00391760541785449	0.000116658784676883	0.000117383028759573	-	-	-	-
ENSG00000048028	1	5	4.5	4.21050269980759e-05	-	-	4.5	-	-	-	-	-	-	-	-	-	4.21050269980759e-05	-	-	-	-	-	-	-
ENSG00000048162	2	12	9	0.000143535379956742	-	-	-	-	-	16	-	9	-	-	-	-	-	-	-	0.00079516089173689	-	0.000128607967099139	-	-
ENSG00000048544	2	4	7	8.71814294178216e-05	-	-	-	-	-	7	-	7	-	-	-	-	-	-	-	0.000157715074209987	-	1.66477846256564e-05	-	-
ENSG00000048740	1	9	8	2.78902968366164e-05	-	-	-	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	2.78902968366164e-05	-
ENSG00000048828	3	12	11	0.000122518018982482	-	-	-	12	-	9	-	10	-	-	-	-	-	0.000105653430157094	-	0.000237523739205795	-	8.10203527372119e-05	-	-
ENSG00000049245	3	4	33	0.00014116415093363	-	-	10.5	-	-	-	-	7	82	-	-	-	5.58854758958091e-05	-	-	-	-	1.38778401071594e-05	0.000358188747976838	-
ENSG00000049323	2	44	159	0.00070334600302639	-	-	-	-	-	-	-	-	159	780.5	-	-	-	-	-	-	-	-	0.000622387289559253	0.00318348705492182
ENSG00000049449	1	4	4	5.67981315143345e-05	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	5.67981315143345e-05	-	-	-	-
ENSG00000049541	3	10	5	8.28745626998112e-05	-	-	3	19	-	5	-	-	-	-	-	-	6.08914567555533e-05	0.000505520012418456	-	8.28745626998112e-05	-	-	-	-
ENSG00000049860	1	4	10	4.23832197176687e-05	-	-	-	-	10	-	-	-	-	-	-	-	-	-	4.23832197176687e-05	-	-	-	-	-
ENSG00000050405	1	7	18	4.78970203680071e-05	-	-	-	-	-	-	-	-	18	-	-	-	-	-	-	-	-	-	4.78970203680071e-05	-
ENSG00000051108	1	3	3	5.9348799902572e-05	-	-	3	-	-	-	-	-	-	-	-	-	5.9348799902572e-05	-	-	-	-	-	-	-
ENSG00000051620	1	7	31	0.000189939329988357	-	-	-	-	31	-	-	-	-	-	-	-	-	-	0.000189939329988357	-	-	-	-	-
ENSG00000052749	3	10	11	8.6879426522377e-05	-	-	-	7	-	11	-	16	-	-	-	-	-	8.2975421697556e-05	-	0.000199060690084879	-	8.6879426522377e-05	-	-
ENSG00000052802	1	4	13	0.000148696197168548	-	-	13	-	-	-	-	-	-	-	-	-	0.000148696197168548	-	-	-	-	-	-	-
ENSG00000053371	2	15	56	0.000250836074976755	-	-	-	-	44.5	-	-	-	56	-	-	-	-	-	0.000180755111844126	-	-	-	0.000299666166844407	-
ENSG00000053372	2	9	19	0.000331285989850049	-	-	-	-	-	25	-	13	-	-	-	-	-	-	-	0.00055612997265609	-	0.000106442007044009	-	-
ENSG00000053501	1	5	6.5	5.24834551278554e-05	-	-	6.5	-	-	-	-	-	-	-	-	-	5.24834551278554e-05	-	-	-	-	-	-	-
ENSG00000053900	1	5	5	6.48254070548071e-05	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	6.48254070548071e-05	-	-	-	-
ENSG00000054116	3	5	24.5	0.000186089081781055	-	-	29	-	-	-	-	9	26	-	-	-	0.000186089081781055	-	-	-	-	6.6825751758478e-05	0.000329363766986727	-
ENSG00000054148	2	3	7.5	4.74466091127287e-05	-	-	-	-	7	-	-	-	8	-	-	-	-	-	3.85930957172188e-05	-	-	-	5.63001225082386e-05	-
ENSG00000055044	2	11	13	0.00015905718040702	-	-	-	-	-	13	-	8	-	-	-	-	-	-	-	0.000223576322320246	-	0.000115993279345459	-	-
ENSG00000055147	2	10	11	6.73604958903922e-05	-	-	7	-	-	-	-	-	33.5	-	-	-	6.73604958903922e-05	-	-	-	-	-	9.56047027136493e-05	-
ENSG00000055332	3	8	15.5	0.00010641691171901	-	-	-	15	-	9.5	-	-	47	-	-	-	-	0.000177762924539713	-	0.00019232472449826	-	-	3.5070898898306e-05	-
ENSG00000055950	3	6	8	0.00012722205051308	-	-	7	-	-	22	-	6	-	-	-	-	3.31860050799822e-05	-	-	0.000333511331715579	-	0.000201701649780212	-	-
ENSG00000055955	4	14	7	0.000141387495334035	14	6.5	-	-	29	-	-	-	6	-	0.000291134453976391	1.50560590045924e-05	-	-	0.00022219346282869	-	-	-	6.05815278393811e-05	-
ENSG00000055957	3	10	30	0.000502754082713407	11	19	-	-	59	-	-	-	-	-	0.000502754082713407	4.31174027976088e-05	-	-	0.000627902150574618	-	-	-	-	-
ENSG00000057149	1	23	12	3.86557848894361e-05	-	-	-	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	3.86557848894361e-05	-
ENSG00000057294	1	27	203	0.00170406546331613	-	-	-	-	203	-	-	-	-	-	-	-	-	-	0.00170406546331613	-	-	-	-	-
ENSG00000057608	5	36	53.5	0.000154553475676281	-	22	-	4	81	-	-	-	70.5	8	-	7.76364020737172e-05	-	5.83511291899142e-05	0.000507796577603231	-	-	-	0.00023847822580501	1.27244244999125e-05
