GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000039600	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	3.83236418910901	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000181195	x	x	x	5.11100026941616	36.277480974071	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000168066	48.1919745512104	87.4259273322753	x	3.53203995563687	15.668839945213	22.6353669641165	34.7515566244317	x	51.117571601341	7.16953995141298	x	7.5564915753683	39.3557188953934	28.5364089621256	137.477489607698	x	x	16.8418929962118	47.2760226370973	23.8280548499583	36.0595650646712	14.2539807828421	22.1163579743749	x	25.2712519559577	35.2775569702455	44.6423014587476	45.0755071449091	86.377437472954	61.8461970104346	14.3082296477536	57.390745079174	19.9133948756064	23.6696242538447	23.0071302835407	x
ENSG00000156222	x	x	x	x	x	x	x	x	x	x	x	15.7824881223835	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000122033	44.8808780710414	x	x	x	x	x	6.4251865668573	x	x	x	x	x	13.7443986077914	x	8.64215378512163	x	x	x	31.701060253831	x	x	x	x	x	79.4304748978019	x	16.5077564004533	14.8146462570618	x	18.8882839601146	x	x	x	x	x	x
ENSG00000072954	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	8.35308441024848	x	x	x	x
ENSG00000136068	516.402807368819	348.326075304003	208.614301062007	185.209082361468	166.623202334015	142.76331415897	397.284705061772	24.7205208468715	310.620988828245	420.641295680491	2192.61963278292	439.649451015088	799.021798637303	380.193947012743	251.554895466996	178.606489621801	233.593017958557	55.5819843888507	519.541754496779	514.058661211428	620.146021063065	72.7730003278241	275.73580405968	288.747126286195	602.883777570934	507.546747593187	649.020157801529	891.748084383776	622.730651224877	1474.7427001471	243.971720893298	214.344047545027	279.101309135157	55.7964376630463	97.0199232764127	404.612916747358
ENSG00000165714	7.67796839727733	4.82148709222815	x	x	x	x	x	x	7.85321606213046	x	x	1.80585576904463	3.1350859634301	3.40982572653498	5.91380440833116	x	x	x	13.7347317854107	1.42361140374234	7.7557866182485	3.84973765577771	x	x	3.19729864926495	4.46328838186991	9.41351398042381	6.53424535238525	2.21170091522396	6.48625668824069	5.12908645430835	4.57176045511327	x	4.84850036368601	6.18554303335896	x
ENSG00000164758	x	5.92284201177266	x	x	x	x	x	x	6.43139860248924	x	x	x	x	x	4.84311562374329	x	x	x	25.6066896964698	x	x	x	x	x	5.23686140860993	x	x	x	x	x	x	x	x	11.9120516549443	x	x
ENSG00000196950	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	3.36953688734136	x	x	x	x	x	x
ENSG00000100852	1.28978783294538	3.64473097559104	x	x	x	1.63566687558276	1.4771774197856	2.70639882426241	3.29806727584959	x	x	3.6402923457626	x	0.859202234299734	4.47045189551065	x	x	x	11.1867718505821	x	x	3.88020205205417	x	x	29.5405005009833	x	0.948800659417976	15.9230413346876	7.24490949530879	10.118520267605	0.861612468376108	0.767989747422887	1.59885881388205	x	1.0390819200839	x
ENSG00000136108	x	1.60760523053074	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000105341	x	x	x	x	x	x	x	x	x	x	x	x	6.54890637160194	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.31001994598272	x	x	x	x	x	x	x
ENSG00000145041	15.6113960018578	x	x	x	x	x	1.19196873967576	x	3.19354442452625	x	x	1.46871818554461	x	x	10.4211217546686	x	x	x	4.35330449399916	x	x	x	x	x	16.4691415328743	x	x	2.74833968539679	x	8.40871435767581	1.39051019094003	x	x	x	x	x
ENSG00000119812	3.49326631348207	6.58093556863628	x	x	x	x	2.0003964945884	x	x	x	x	x	17.1165437822918	x	1.34530989548425	x	x	x	14.0103956089879	x	3.52867148263985	17.5070662273776	x	x	8.72810234768322	2.03067454110268	x	9.22468667106389	x	2.22137383701495	x	x	x	x	x	x
ENSG00000104852	44.2259878911783	65.2045879346347	x	9.51271239216078	x	9.75407927544046	39.6402693128185	x	17.7008222946498	2.57459418725065	x	x	5.1611645171235	2.56186844402814	128.851534733524	x	16.1476394173664	x	18.2715642613225	59.8968697408142	69.9248815255934	7.15178561080832	20.8478087239043	x	x	38.0046950284856	22.6321801503887	40.0334513591583	6.64677580234955	20.4470634416506	15.4143299837643	x	7.15093451499062	25.4994089291652	37.1785511101613	10.6611239057036
ENSG00000147889	4.82740543554459	x	x	x	x	x	x	x	4.93758972989236	x	x	x	x	12.8632552739122	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.17171957509117	18.8425777060839	x	11.4976984166008	5.9841933158703	x	x	x
ENSG00000026025	518.066069676755	3551.60577506767	784.781208884822	1723.95611112996	5718.52709700408	2468.88515304861	1713.48591318752	19.4990654975365	1544.52473940125	52.8796151205116	42.2974485163916	524.551653243871	109.945969672678	1538.30975031233	844.584139456387	x	17519.2681222343	646.669308536091	5272.15066150823	3530.42812421541	1797.58149162036	606.077877188104	859.984956812095	1477.77937049554	1333.11123326116	1261.35052060177	1445.79710745696	2475.62151343277	1060.02361644282	895.200126188455	3907.77645092713	531.188491588854	3611.35067907878	1175.09753375547	864.676735811035	2524.58293310322
ENSG00000078237	25.5720940289171	16.0583522752438	x	11.8074938786705	20.952167479726	15.1338580665673	9.76246348721506	x	22.668334463219	x	x	4.81163882310817	10.7339559428987	24.9847401157063	11.8178420050879	x	x	21.4483415714671	4.81667637217581	9.4829055795664	3.44416985341065	17.3908201601689	15.8430557743768	x	18.4580265172723	3.96409134200392	12.5409875214014	30.1804022943041	19.1522462958837	10.2625792970689	2.27771157343357	10.1510783570732	2.11332783491924	3.2296644316323	16.4811606283828	x
ENSG00000173020	8.2709474833791	18.178497961795	x	1.36391927955263	x	5.2444729600813	9.47260979720961	x	19.7393694031441	x	x	x	x	9.18292706233546	54.1495467079332	x	x	13.0072042503572	6.15767519326162	4.6006760699619	x	1.67764750613014	4.27018485260856	7.07150155033479	2.29615334408225	1.60266457216784	2.02810628378594	28.918329322188	16.6775933691938	3.50633947298243	x	16.4161440780089	6.83527266793821	x	6.66326024514965	x
ENSG00000183011	6.19976093473845	x	x	x	x	x	x	x	6.34126889234425	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	5.33298348961641	x	x	x	x	x	x
ENSG00000142224	x	x	x	x	x	x	x	x	7.9885594242773	x	x	x	x	x	x	166.07849966012	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14.5227995414784	x	x	32.4774401957169
ENSG00000129197	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1.24979536006999	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000184502	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	250.533950481965	x	x	x	x	x	x	x
ENSG00000130775	x	6.11744080558832	x	x	x	x	x	x	x	x	x	x	5.30367565990971	2.88422868165489	10.0044786215739	x	x	x	x	7.22503935069515	x	x	x	x	x	x	x	59.3812778196636	5.61235534586715	x	x	2.57804038247096	x	x	x	x
ENSG00000029993	15.6578793719757	37.6915690384015	x	x	x	x	11.9551786008042	x	26.6921107729715	18.6354334317626	x	2.45515222533034	17.1447186566005	55.6299657857167	8.04011610570866	x	x	2.73601913374789	17.3019713788189	1.93547168373959	84.3550724321859	2.11732310254009	10.7786182824552	8.92479114203769	5.79585223312448	x	2.55962964411524	6.76620686823576	15.0345961091067	14.5844958720877	16.2709221977497	24.862157980616	8.62665171265348	x	14.0159308433789	x
ENSG00000149636	x	2.38414359689255	x	x	x	x	x	x	x	x	x	x	6.20098735717274	x	1.94951732300251	x	x	x	5.43327354649677	x	5.11347326417691	x	x	x	x	x	x	13.367690615281	x	x	x	x	x	x	x	x
ENSG00000147123	8.92443973170564	4.20316958328247	x	x	7.83441997260648	x	10.2210460660093	x	4.56406889297687	x	x	x	36.7020125128526	5.94508520044283	41.2432468823095	15.814151084351	18.7361478974557	7.01745541508824	14.3751735087408	4.96417809374132	x	8.29823539352074	6.91136186699217	x	11.1490817452755	5.18787602503611	x	x	3.85613560147116	10.9642923758787	5.96176235323065	5.3139578777013	5.53149857655735	8.45343723351596	7.18972821360648	12.3701297191179
ENSG00000173166	x	0.594820491598294	x	x	x	x	x	x	x	x	x	x	5.55297639837015	x	x	x	x	x	x	x	x	x	x	x	0.525928679392413	x	x	6.0103441335003	x	x	x	x	x	x	x	x
ENSG00000169413	5.83747518737391	16.4957569696401	x	x	x	x	6.68558526843588	x	5.97071406545891	7.81599234414171	x	90.6161744994684	21.7209234216174	15.5547186771247	13.4886019492568	x	x	x	12.5308391783955	6.4941368464778	x	x	9.04144229159767	x	x	x	x	x	5.04459586695756	5.02134826213647	7.79917638669571	13.9034373878405	14.472610790314	11.0587849954007	9.40560109376606	x
ENSG00000183747	x	x	x	x	x	x	x	x	x	233.846115675273	x	135.556942042913	194.868052882561	2.90862821932134	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000119203	9.80925114634734	16.6316105271982	x	x	x	4.97590898736042	15.7281728820631	x	2.00662895896481	x	x	5.53711873435286	9.73324875951265	15.6828221568856	16.6218428201642	x	x	x	10.3117279784377	x	3.96346819051027	1.82419238615882	x	x	19.6071276052485	x	x	7.69145734825836	20.344565910074	7.52152645274002	5.24227186967637	x	2.43196706501793	x	6.32204166011137	x
ENSG00000148848	x	0.734945752279676	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	64.6282983339729	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
