GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000172244	x	x	6.77888459338088	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000095637	46.9570791302511	x	x	x	375.396234599113	90.2783853244979	7.50705208394161	50.5574007057168	24.5344996046707	21.0665708619401	2.64362106249449	12.9700511084891	2.33931391151229	23.070192080239	242.499939838942	158.750458179412	11.0967376000813	25.1235174485529	43.2683953514618	x	x	31.1491959495185	35.8246055551369	x	329.578286636182	330.621733129649	17.9434273061723	19.7168939702159	45.8415766406874	329.609840315676
ENSG00000163449	x	x	x	x	x	5.1567880141395	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000182511	x	8.92329860326394	3.74114193456657	4.07589824402352	x	x	x	10.2325024080915	x	4.30125250777281	x	4.55494298860268	x	x	2.94114736187979	x	x	4.37585563357095	2.65801766855048	104.882409768002	22.8367669345744	x	2.35857367794651	21.8709726195574	x	x	x	x	1.57547654797995	2.98362337464357
ENSG00000189241	20.2615712110953	8.58395064242115	2.67062341959516	5.57958384740829	x	x	x	x	x	x	11.2595007761557	x	1.72412452447999	2.42840519150218	x	x	x	x	x	x	x	10.3242035300269	2.00613497742354	x	1.7089737181136	x	x	x	13.4005506741891	x
ENSG00000109103	x	2.72620862608668	2.12043291801707	1.10752541635712	x	x	3.05353926005127	x	x	x	1.55537466098918	x	2.73785541581306	1.17422753735012	x	x	x	x	x	3.77788391323033	x	4.57088793681488	x	x	1.3568982063609	x	55.710401588533	2.67470906032739	12.7677913227079	x
ENSG00000100450	x	18.6782235559968	39.0868800597294	162.234510963419	x	x	x	x	x	x	x	x	x	x	x	x	x	x	8.27231241400363	x	666.376573270851	x	x	x	x	x	x	x	x	x
ENSG00000100796	1.43005033760028	31.1515498944504	19.7623189903912	16.7485502990986	1.89949169450296	x	6.1869646588453	7.81988142935307	9.52158290207393	5.92416910637257	20.9318798341659	3.13679009609469	6.65129526654863	2.48748182235346	x	x	x	5.38137563504613	x	14.7375981302252	12.0055160931613	18.543823753214	8.11092658324129	x	9.6855711064072	x	7.28182938205914	x	20.673908221478	1.75697849017047
ENSG00000249948	x	x	x	x	x	x	x	19.7124155130642	x	12.9747015615256	x	x	x	x	x	x	14.1871118432126	10.2156613256791	x	x	x	x	x	x	x	x	6.12143606931327	x	x	x
ENSG00000135541	x	x	1.50016779151723	x	1.31787060986626	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000105701	50.8352344996166	24.6507665110683	70.1843956201555	26.6624171516116	16.7093555170283	9.23951355862097	25.2157075992495	16.3427594591486	22.4552892010188	44.1785467109727	28.521289852206	13.2553382480616	19.7942202007424	33.771667814569	19.0208155995398	15.9104345538905	29.8881283803712	26.2271126466484	20.3340507959148	19.3074930015305	19.7953903451552	36.9973230625551	61.3471519164314	20.4515137864067	32.7134746538716	27.5727472720917	64.5458306841451	25.5755638494501	55.3490015086795	31.0334806676954
