GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000127586	x	x	12.8760077005437	x	12.9851381505287	13.3443723457275	x	13.4729632234688	4.49929935216783	x	36.7229281269436	x	8.63575170797478	x	x	x	x	x	x	11.1383184070611	x	x	x	x	x	6.13057844712057	x	x	24.9351656686209	x
ENSG00000186132	x	x	54.1787104863097	29.0107417019762	x	x	x	x	x	x	41.6370842879182	x	x	x	x	x	x	x	x	x	x	21.7949776662916	19.489153800795	17.9688286283242	x	x	27.9428724168192	x	69.6016363445852	19.9596150995502
ENSG00000149084	367.630361972566	111.603514651718	81.3860711574857	72.5324744675813	155.650873677839	116.183719593507	347.146277886748	198.099936826349	145.285195093574	544.823801827461	265.159203846756	174.671287794895	887.118533360118	197.762606363203	115.387490021579	93.8311587872229	173.95493408604	287.919922241184	167.111147601514	101.556631411682	80.3863363185069	305.994477395392	138.944656853856	258.776159633339	174.031436765168	137.053500062482	418.979421199968	292.21555301444	276.740005145256	134.798784832307
ENSG00000166289	x	19.9410103022949	69.5055095163836	109.570244678062	14.00077035712	x	x	x	x	x	x	21.6797649342527	9.31119677918394	x	22.2858310628049	11.8182803143266	x	8.62158816705655	27.5657541247209	x	134.462442793603	14.9867822725586	32.2637143055387	x	50.9090804749517	x	7.70976566203024	x	33.7077499298229	58.1640085037251
ENSG00000046604	x	x	x	x	140.829489338485	x	x	140.515965504386	79.1419413636413	32.8876102699002	17.0414766093848	113.14442580704	x	x	28.6430854623189	166.111852251046	4.61130414466081	48.6986857878278	9.85200336064455	x	x	12.8282230134759	192.546458601639	x	86.9330249951248	149.548173863951	x	x	x	23.6188208175092
ENSG00000139131	30.1571803621306	78.0539237767537	86.5650470732169	85.8574304472686	13.7500496815448	24.5498911644693	15.3735375576015	28.5332218314178	58.7147619801739	47.081351407742	80.5506956340501	18.9148822404597	127.802661253791	58.458904992487	x	55.3425209507724	48.8160747985438	74.5477420583425	38.8691929873427	78.0219481215719	7.63412166554694	50.0610155165666	31.6859475083613	25.0948308663153	29.9984515673325	12.9834210845239	58.9486044804647	18.1783693080809	82.984043332611	32.4508351053007
ENSG00000135900	109.828724362313	130.814358899226	145.135355474432	65.7365559229715	51.9457065699199	89.1408920735309	62.0719044948025	53.2648221808039	85.0283693970006	65.9105292273828	60.5020664475553	x	85.8659870709505	67.9267919789217	x	47.8293800584871	86.2536372133407	71.9517895772431	32.8644345514407	75.5194318356605	32.2939511612429	74.8869534812711	12.8218117110493	23.6431955635845	24.2779230457207	57.5312702827365	45.9586717381894	x	68.1426184551278	x
ENSG00000159763	1103.10252491604	x	x	359.324494162941	x	x	x	x	x	x	110.981968429248	x	x	x	x	84.2027219660057	x	x	49.1000270050584	x	200.551704741068	x	x	x	4208.10275830894	51.8097109646767	x	62.2219446925534	x	119.32335413861
ENSG00000082146	x	x	x	x	x	33.9769470877741	x	x	x	x	9.54557186991744	x	x	x	x	x	x	x	x	x	10.4887109818017	x	x	x	x	x	x	x	x	x
ENSG00000139547	x	x	x	x	x	x	x	x	x	15.3133502310489	x	x	x	x	x	x	x	798.671680335661	x	x	x	x	x	x	x	x	x	x	x	x
